Date,BTC_Close,BTC_Volume,SP500_Close,M2
2019-01-02,3943.409423828125,5244856836,2510.030029296875,14432.7
2019-01-03,3836.7412109375,4530215219,2447.889892578125,14432.7
2019-01-04,3857.717529296875,4847965467,2531.93994140625,14432.7
2019-01-07,4025.248291015625,5228625637,2549.68994140625,14432.7
2019-01-08,4030.847900390625,5306593305,2574.409912109375,14432.7
2019-01-09,4035.29638671875,5115905225,2584.9599609375,14432.7
2019-01-10,3678.924560546875,6874143796,2596.639892578125,14432.7
2019-01-11,3687.365478515625,5538712865,2596.260009765625,14432.7
2019-01-14,3706.05224609375,5651384490,2582.610107421875,14432.7
2019-01-15,3630.67529296875,5537192302,2610.300048828125,14432.7
2019-01-16,3655.0068359375,5394457145,2616.10009765625,14432.7
2019-01-17,3678.56396484375,5464420383,2635.9599609375,14432.7
2019-01-18,3657.83935546875,5002961727,2670.7099609375,14432.7
2019-01-22,3604.5771484375,5313623556,2632.89990234375,14432.7
2019-01-23,3585.123046875,5433755649,2638.699951171875,14432.7
2019-01-24,3600.865478515625,5262869046,2642.330078125,14432.7
2019-01-25,3599.765869140625,5265847539,2664.760009765625,14432.7
2019-01-28,3470.450439453125,6908930483,2643.85009765625,14432.7
2019-01-29,3448.116943359375,5897159493,2640.0,14432.7
2019-01-30,3486.181640625,5955112627,2681.050048828125,14432.7
2019-01-31,3457.792724609375,5831198271,2704.10009765625,14432.7
2019-02-01,3487.9453125,5422926707,2706.530029296875,14470.5
2019-02-04,3459.154052734375,5332718886,2724.8701171875,14470.5
2019-02-05,3466.357421875,5227549545,2737.699951171875,14470.5
2019-02-06,3413.767822265625,5482196038,2731.610107421875,14470.5
2019-02-07,3399.4716796875,5004962683,2706.050048828125,14470.5
2019-02-08,3666.7802734375,7735623101,2707.8798828125,14470.5
2019-02-11,3648.4306640625,6277056434,2709.800048828125,14470.5
2019-02-12,3653.528564453125,6480384532,2744.72998046875,14470.5
2019-02-13,3632.070556640625,6438903823,2753.030029296875,14470.5
2019-02-14,3616.880859375,6271044418,2745.72998046875,14470.5
2019-02-15,3620.810791015625,6091952231,2775.60009765625,14470.5
2019-02-19,3947.094482421875,9933626655,2779.760009765625,14470.5
2019-02-20,3999.820556640625,8693373948,2784.699951171875,14470.5
2019-02-21,3954.1181640625,7775128102,2774.8798828125,14470.5
2019-02-22,4005.526611328125,7826525254,2792.669921875,14470.5
2019-02-25,3882.6962890625,9318796067,2796.110107421875,14470.5
2019-02-26,3854.35791015625,7931218996,2793.89990234375,14470.5
2019-02-27,3851.04736328125,8301309684,2792.3798828125,14470.5
2019-02-28,3854.785400390625,8399767798,2784.489990234375,14470.5
2019-03-01,3859.583740234375,7661247975,2803.68994140625,14513.9
2019-03-04,3761.55712890625,9029175788,2792.81005859375,14513.9
2019-03-05,3896.375,10174126415,2789.64990234375,14513.9
2019-03-06,3903.942626953125,9175291529,2771.449951171875,14513.9
2019-03-07,3911.484375,9584165519,2748.929931640625,14513.9
2019-03-08,3901.131591796875,10638638944,2743.070068359375,14513.9
2019-03-11,3905.227294921875,10125901903,2783.300048828125,14513.9
2019-03-12,3909.15625,9809887079,2791.52001953125,14513.9
2019-03-13,3906.71728515625,9469184841,2810.919921875,14513.9
2019-03-14,3924.369140625,10480789570,2808.47998046875,14513.9
2019-03-15,3960.9111328125,9394210605,2822.47998046875,14513.9
2019-03-18,4032.50732421875,9646954186,2832.93994140625,14513.9
2019-03-19,4071.190185546875,9344919956,2832.570068359375,14513.9
2019-03-20,4087.476318359375,10175916388,2824.22998046875,14513.9
2019-03-21,4029.326904296875,10831212662,2854.8798828125,14513.9
2019-03-22,4023.96826171875,9252935969,2800.7099609375,14513.9
2019-03-25,3963.070556640625,10359818883,2798.360107421875,14513.9
2019-03-26,3985.080810546875,10707678815,2818.4599609375,14513.9
2019-03-27,4087.066162109375,10897131934,2805.3701171875,14513.9
